City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Arraial Do Cabo,-22.9661,-42.0278,74.19,96,100,11.61,BR,2022-01-30 01:48:10
1,Cockburn Town,21.4612,-71.1419,76.96,73,40,11.5,TC,2022-01-30 01:45:24
2,Aksu,41.1231,80.2644,23.88,51,87,5.03,CN,2022-01-30 01:48:17
3,East London,-33.0153,27.9116,68.97,85,9,5.82,ZA,2022-01-30 01:48:18
4,Novokizhinginsk,51.6115,109.5917,-8.55,96,97,2.44,RU,2022-01-30 01:48:19
5,Thompson,55.7435,-97.8558,-12.84,77,20,0.0,CA,2022-01-30 01:48:19
6,Atocha,-20.9333,-66.2333,49.51,83,99,6.58,BO,2022-01-30 01:48:19
7,Port Elizabeth,-33.918,25.5701,66.49,88,0,6.91,ZA,2022-01-30 01:48:20
8,Carnarvon,-24.8667,113.6333,80.67,78,75,13.8,AU,2022-01-30 01:48:20
9,Rikitea,-23.1203,-134.9692,76.91,70,100,7.83,PF,2022-01-30 01:48:21
10,Mantua,45.1667,10.7833,38.71,95,28,1.99,IT,2022-01-30 01:48:21
11,Busselton,-33.65,115.3333,79.09,54,6,12.33,AU,2022-01-30 01:46:56
12,Cayenne,4.9333,-52.3333,79.09,85,75,3.0,GF,2022-01-30 01:48:22
13,Nikolskoye,59.7035,30.7861,27.72,93,100,15.82,RU,2022-01-30 01:48:22
14,Sao Filipe,14.8961,-24.4956,70.92,72,65,10.58,CV,2022-01-30 01:48:23
15,Kodiak,57.79,-152.4072,35.11,55,0,12.66,US,2022-01-30 01:48:23
16,Port Alfred,-33.5906,26.891,68.13,87,14,7.63,ZA,2022-01-30 01:48:23
17,Punta Arenas,-53.15,-70.9167,50.11,57,0,16.11,CL,2022-01-30 01:48:24
18,Ardakan,32.31,54.0175,39.58,39,0,7.56,IR,2022-01-30 01:48:24
19,Tasiilaq,65.6145,-37.6368,17.76,70,100,11.01,GL,2022-01-30 01:48:25
20,Cape Town,-33.9258,18.4232,70.21,69,0,3.0,ZA,2022-01-30 01:48:25
21,Mandalgovi,45.7625,106.2708,-0.11,79,99,20.18,MN,2022-01-30 01:48:25
22,Alyangula,-13.8483,136.4192,85.87,74,100,14.97,AU,2022-01-30 01:48:26
23,Evensk,61.95,159.2333,20.19,80,100,8.12,RU,2022-01-30 01:48:26
24,Iqaluit,63.7506,-68.5145,-13.27,69,100,5.99,CA,2022-01-30 01:48:27
25,Camacha,33.0833,-16.3333,60.22,82,40,8.05,PT,2022-01-30 01:48:27
26,Hermanus,-34.4187,19.2345,65.8,86,1,11.21,ZA,2022-01-30 01:48:27
27,Vitim,59.4511,112.5578,-6.9,97,98,3.53,RU,2022-01-30 01:48:28
28,Clyde River,70.4692,-68.5914,-7.37,77,100,5.75,CA,2022-01-30 01:48:28
29,Haines Junction,60.7522,-137.5108,12.15,79,100,3.44,CA,2022-01-30 01:48:29
30,Qaanaaq,77.484,-69.3632,-1.21,95,100,8.05,GL,2022-01-30 01:48:29
31,Murgab,37.4966,61.9714,33.67,80,99,4.61,TM,2022-01-30 01:48:29
32,Tuktoyaktuk,69.4541,-133.0374,-5.8,84,75,14.97,CA,2022-01-30 01:48:30
33,Bac Lieu,9.285,105.7244,80.92,71,82,7.14,VN,2022-01-30 01:48:30
34,Albany,42.6001,-73.9662,8.74,57,100,11.99,US,2022-01-30 01:48:31
35,Mataura,-46.1927,168.8643,57.67,97,100,2.62,NZ,2022-01-30 01:48:31
36,Hobart,-42.8794,147.3294,79.02,53,20,3.0,AU,2022-01-30 01:48:27
37,Barrow,71.2906,-156.7887,-9.38,70,0,10.36,US,2022-01-30 01:48:31
38,Atuona,-9.8,-139.0333,78.03,78,24,13.35,PF,2022-01-30 01:48:32
39,Chuy,-33.6971,-53.4616,65.05,79,0,6.8,UY,2022-01-30 01:48:32
40,Dingle,10.9995,122.6711,84.04,71,4,1.9,PH,2022-01-30 01:48:33
41,Sao Felix Do Xingu,-6.6447,-51.995,70.83,96,100,1.5,BR,2022-01-30 01:48:33
42,Lavrentiya,65.5833,-171.0,-2.79,87,3,3.4,RU,2022-01-30 01:48:33
43,Tommot,58.9564,126.2925,-3.44,93,100,8.43,RU,2022-01-30 01:48:34
44,Acapulco,16.8634,-99.8901,78.55,76,0,8.05,MX,2022-01-30 01:48:34
45,Iquique,-20.2208,-70.1431,69.84,79,46,2.71,CL,2022-01-30 01:48:35
46,Muramvya,-3.2682,29.6079,57.65,92,100,0.76,BI,2022-01-30 01:48:35
47,Vila Franca Do Campo,37.7167,-25.4333,56.19,71,78,9.64,PT,2022-01-30 01:48:35
48,Husavik,66.0449,-17.3389,33.71,80,100,17.13,IS,2022-01-30 01:49:36
49,Yakeshi,49.2833,120.7333,-13.11,98,82,3.27,CN,2022-01-30 01:49:36
50,Kapaa,22.0752,-159.319,79.12,66,20,1.99,US,2022-01-30 01:49:36
51,Muisne,0.6,-80.0333,75.65,87,98,1.25,EC,2022-01-30 01:49:37
52,New Norfolk,-42.7826,147.0587,78.66,30,0,3.76,AU,2022-01-30 01:49:37
53,Yashkul,46.1711,45.3435,30.72,85,65,9.71,RU,2022-01-30 01:49:37
54,Poplar Bluff,36.757,-90.3929,33.53,68,0,3.44,US,2022-01-30 01:49:38
